soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
11-1011,11-1011.00,Chief Executives,Microsoft Excel,Spreadsheet software,Y,Y,1
11-1011,11-1011.00,Chief Executives,Microsoft Office software,Office suite software,Y,Y,2
11-1011,11-1011.00,Chief Executives,Microsoft Outlook,Electronic mail software,Y,Y,3
11-1011,11-1011.00,Chief Executives,Microsoft PowerPoint,Presentation software,Y,Y,4
11-1011,11-1011.00,Chief Executives,Adobe Acrobat,Document management software,Y,N,5
11-1011,11-1011.03,Chief Sustainability Officers,Adobe Photoshop,Graphics or photo imaging software,Y,N,6
11-1011,11-1011.00,Chief Executives,Atlassian JIRA,Content workflow software,Y,N,7
11-1011,11-1011.00,Chief Executives,Extensible markup language XML,Enterprise application integration software,Y,N,8
11-1011,11-1011.03,Chief Sustainability Officers,Facebook,Web page creation and editing software,Y,N,9
11-1011,11-1011.00,Chief Executives,Intuit QuickBooks,Accounting software,Y,N,10
11-1011,11-1011.00,Chief Executives,Microsoft Access,Data base user interface and query software,Y,N,11
11-1011,11-1011.00,Chief Executives,Microsoft Project,Project management software,Y,N,12
11-1011,11-1011.00,Chief Executives,Microsoft SharePoint,Document management software,Y,N,13
11-1011,11-1011.00,Chief Executives,Microsoft Word,Word processing software,Y,N,14
11-1011,11-1011.00,Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,15
11-1011,11-1011.00,Chief Executives,PHP,Web platform development software,Y,N,16
11-1011,11-1011.00,Chief Executives,SAP software,Enterprise resource planning ERP software,Y,N,17
11-1011,11-1011.03,Chief Sustainability Officers,Salesforce software,Customer relationship management CRM software,Y,N,18
11-1011,11-1011.00,Chief Executives,Structured query language SQL,Data base user interface and query software,Y,N,19
11-1011,11-1011.03,Chief Sustainability Officers,Tableau,Business intelligence and data analysis software,Y,N,20
11-1021,11-1021.00,General and Operations Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-1021,11-1021.00,General and Operations Managers,Microsoft Office software,Office suite software,Y,Y,2
11-1021,11-1021.00,General and Operations Managers,Microsoft PowerPoint,Presentation software,Y,Y,3
11-1021,11-1021.00,General and Operations Managers,Adobe Acrobat,Document management software,Y,N,4
11-1021,11-1021.00,General and Operations Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,5
11-1021,11-1021.00,General and Operations Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,6
11-1021,11-1021.00,General and Operations Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N,7
11-1021,11-1021.00,General and Operations Managers,Apache Hadoop,Data base management system software,Y,N,8
11-1021,11-1021.00,General and Operations Managers,Apple macOS,Operating system software,Y,N,9
11-1021,11-1021.00,General and Operations Managers,Atlassian Confluence,Project management software,Y,N,10
11-1021,11-1021.00,General and Operations Managers,Atlassian JIRA,Content workflow software,Y,N,11
11-1021,11-1021.00,General and Operations Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,12
11-1021,11-1021.00,General and Operations Managers,Extensible markup language XML,Enterprise application integration software,Y,N,13
11-1021,11-1021.00,General and Operations Managers,Facebook,Web page creation and editing software,Y,N,14
11-1021,11-1021.00,General and Operations Managers,Google Analytics,Data mining software,Y,N,15
11-1021,11-1021.00,General and Operations Managers,Google Docs,Word processing software,Y,N,16
11-1021,11-1021.00,General and Operations Managers,HubSpot software,Sales and marketing software,Y,N,17
11-1021,11-1021.00,General and Operations Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,18
11-1021,11-1021.00,General and Operations Managers,Intuit QuickBooks,Accounting software,Y,N,19
11-1021,11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software,Y,N,20
11-1031,11-1031.00,Legislators,Adobe Acrobat,Document management software,Y,N,1
11-1031,11-1031.00,Legislators,Cisco Webex,Video conferencing software,Y,N,2
11-1031,11-1031.00,Legislators,Microsoft Access,Data base user interface and query software,Y,N,3
11-1031,11-1031.00,Legislators,Microsoft Excel,Spreadsheet software,Y,N,4
11-1031,11-1031.00,Legislators,Microsoft Office software,Office suite software,Y,N,5
11-1031,11-1031.00,Legislators,Microsoft Outlook,Electronic mail software,Y,N,6
11-1031,11-1031.00,Legislators,Microsoft SQL Server,Data base user interface and query software,Y,N,7
11-1031,11-1031.00,Legislators,Microsoft SharePoint,Document management software,Y,N,8
11-1031,11-1031.00,Legislators,Microsoft Visual Basic,Development environment software,Y,N,9
11-1031,11-1031.00,Legislators,Microsoft Word,Word processing software,Y,N,10
11-1031,11-1031.00,Legislators,Structured query language SQL,Data base user interface and query software,Y,N,11
11-1031,11-1031.00,Legislators,Adobe FrameMaker,Desktop publishing software,N,N,12
11-1031,11-1031.00,Legislators,Antenna House,Desktop publishing software,N,N,13
11-1031,11-1031.00,Legislators,Apple Numbers for Mac,Spreadsheet software,N,N,14
11-1031,11-1031.00,Legislators,Apple iWork Keynote,Presentation software,N,N,15
11-1031,11-1031.00,Legislators,Apple iWork Pages,Word processing software,N,N,16
11-1031,11-1031.00,Legislators,Cisco AnyConnect,Access software,N,N,17
11-1031,11-1031.00,Legislators,Corel WordPerfect Office Suite,Office suite software,N,N,18
11-1031,11-1031.00,Legislators,GoodReader,Word processing software,N,N,19
11-1031,11-1031.00,Legislators,IBM Domino,Communications server software,N,N,20
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,Presentation software,Y,Y,3
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,Document management software,Y,N,4
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe After Effects,Video creation and editing software,Y,N,5
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,6
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,7
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe InDesign,Desktop publishing software,Y,N,8
11-2011,11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,9
11-2011,11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,Enterprise application integration software,Y,N,10
11-2011,11-2011.00,Advertising and Promotions Managers,Facebook,Web page creation and editing software,Y,N,11
11-2011,11-2011.00,Advertising and Promotions Managers,Google Analytics,Analytical or scientific software,Y,N,12
11-2011,11-2011.00,Advertising and Promotions Managers,HubSpot software,Sales and marketing software,Y,N,13
11-2011,11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,Web platform development software,Y,N,14
11-2011,11-2011.00,Advertising and Promotions Managers,JavaScript,Web platform development software,Y,N,15
11-2011,11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,16
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Access,Data base user interface and query software,Y,N,17
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,Electronic mail software,Y,N,18
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft Project,Project management software,Y,N,19
11-2011,11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Data base management system software,Y,N,20
11-2021,11-2021.00,Marketing Managers,Atlassian JIRA,Content workflow software,Y,Y,1
11-2021,11-2021.00,Marketing Managers,Microsoft Excel,Spreadsheet software,Y,Y,2
11-2021,11-2021.00,Marketing Managers,Microsoft Office software,Office suite software,Y,Y,3
11-2021,11-2021.00,Marketing Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-2021,11-2021.00,Marketing Managers,Salesforce software,Customer relationship management CRM software,Y,Y,5
11-2021,11-2021.00,Marketing Managers,Structured query language SQL,Data base user interface and query software,Y,Y,6
11-2021,11-2021.00,Marketing Managers,Adobe Acrobat,Document management software,Y,N,7
11-2021,11-2021.00,Marketing Managers,Adobe After Effects,Video creation and editing software,Y,N,8
11-2021,11-2021.00,Marketing Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,9
11-2021,11-2021.00,Marketing Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,10
11-2021,11-2021.00,Marketing Managers,Adobe InDesign,Desktop publishing software,Y,N,11
11-2021,11-2021.00,Marketing Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,12
11-2021,11-2021.00,Marketing Managers,Amazon Redshift,Data base user interface and query software,Y,N,13
11-2021,11-2021.00,Marketing Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N,14
11-2021,11-2021.00,Marketing Managers,Apache Cassandra,Data base management system software,Y,N,15
11-2021,11-2021.00,Marketing Managers,Apache Hadoop,Data base management system software,Y,N,16
11-2021,11-2021.00,Marketing Managers,Apache Hive,Data base management system software,Y,N,17
11-2021,11-2021.00,Marketing Managers,Apple macOS,Operating system software,Y,N,18
11-2021,11-2021.00,Marketing Managers,Asana,Cloud-based data access and sharing software,Y,N,19
11-2021,11-2021.00,Marketing Managers,Atlassian Confluence,Project management software,Y,N,20
11-2022,11-2022.00,Sales Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2022,11-2022.00,Sales Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2022,11-2022.00,Sales Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-2022,11-2022.00,Sales Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-2022,11-2022.00,Sales Managers,Salesforce software,Customer relationship management CRM software,Y,Y,5
11-2022,11-2022.00,Sales Managers,Adobe Acrobat,Document management software,Y,N,6
11-2022,11-2022.00,Sales Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,7
11-2022,11-2022.00,Sales Managers,Bentley MicroStation,Computer aided design CAD software,Y,N,8
11-2022,11-2022.00,Sales Managers,Eclipse IDE,Development environment software,Y,N,9
11-2022,11-2022.00,Sales Managers,Facebook,Web page creation and editing software,Y,N,10
11-2022,11-2022.00,Sales Managers,Google Analytics,Data mining software,Y,N,11
11-2022,11-2022.00,Sales Managers,Google Docs,Word processing software,Y,N,12
11-2022,11-2022.00,Sales Managers,HubSpot software,Sales and marketing software,Y,N,13
11-2022,11-2022.00,Sales Managers,Hypertext markup language HTML,Web platform development software,Y,N,14
11-2022,11-2022.00,Sales Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,15
11-2022,11-2022.00,Sales Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,16
11-2022,11-2022.00,Sales Managers,Microsoft Access,Data base user interface and query software,Y,N,17
11-2022,11-2022.00,Sales Managers,Microsoft Azure software,Development environment software,Y,N,18
11-2022,11-2022.00,Sales Managers,Microsoft Project,Project management software,Y,N,19
11-2022,11-2022.00,Sales Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,20
11-2032,11-2032.00,Public Relations Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2032,11-2032.00,Public Relations Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2032,11-2032.00,Public Relations Managers,Microsoft PowerPoint,Presentation software,Y,Y,3
11-2032,11-2032.00,Public Relations Managers,Salesforce software,Customer relationship management CRM software,Y,Y,4
11-2032,11-2032.00,Public Relations Managers,Adobe Acrobat,Document management software,Y,N,5
11-2032,11-2032.00,Public Relations Managers,Adobe After Effects,Video creation and editing software,Y,N,6
11-2032,11-2032.00,Public Relations Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,7
11-2032,11-2032.00,Public Relations Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,8
11-2032,11-2032.00,Public Relations Managers,Adobe InDesign,Desktop publishing software,Y,N,9
11-2032,11-2032.00,Public Relations Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,10
11-2032,11-2032.00,Public Relations Managers,Canva,Graphics or photo imaging software,Y,N,11
11-2032,11-2032.00,Public Relations Managers,Facebook,Web page creation and editing software,Y,N,12
11-2032,11-2032.00,Public Relations Managers,Google Analytics,Data mining software,Y,N,13
11-2032,11-2032.00,Public Relations Managers,Google Docs,Word processing software,Y,N,14
11-2032,11-2032.00,Public Relations Managers,Google Workspace software,Office suite software,Y,N,15
11-2032,11-2032.00,Public Relations Managers,HubSpot software,Sales and marketing software,Y,N,16
11-2032,11-2032.00,Public Relations Managers,Hypertext markup language HTML,Web platform development software,Y,N,17
11-2032,11-2032.00,Public Relations Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,18
11-2032,11-2032.00,Public Relations Managers,Microsoft Access,Data base user interface and query software,Y,N,19
11-2032,11-2032.00,Public Relations Managers,Microsoft Outlook,Electronic mail software,Y,N,20
11-2033,11-2033.00,Fundraising Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-2033,11-2033.00,Fundraising Managers,Microsoft Office software,Office suite software,Y,Y,2
11-2033,11-2033.00,Fundraising Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-2033,11-2033.00,Fundraising Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-2033,11-2033.00,Fundraising Managers,Microsoft Word,Word processing software,Y,Y,5
11-2033,11-2033.00,Fundraising Managers,Salesforce software,Customer relationship management CRM software,Y,Y,6
11-2033,11-2033.00,Fundraising Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,Y,7
11-2033,11-2033.00,Fundraising Managers,Adobe Acrobat,Document management software,Y,N,8
11-2033,11-2033.00,Fundraising Managers,Adobe After Effects,Video creation and editing software,Y,N,9
11-2033,11-2033.00,Fundraising Managers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N,10
11-2033,11-2033.00,Fundraising Managers,Adobe Illustrator,Graphics or photo imaging software,Y,N,11
11-2033,11-2033.00,Fundraising Managers,Adobe InDesign,Desktop publishing software,Y,N,12
11-2033,11-2033.00,Fundraising Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,13
11-2033,11-2033.00,Fundraising Managers,Facebook,Web page creation and editing software,Y,N,14
11-2033,11-2033.00,Fundraising Managers,Google Analytics,Data mining software,Y,N,15
11-2033,11-2033.00,Fundraising Managers,Google Docs,Word processing software,Y,N,16
11-2033,11-2033.00,Fundraising Managers,HubSpot software,Sales and marketing software,Y,N,17
11-2033,11-2033.00,Fundraising Managers,Hypertext markup language HTML,Web platform development software,Y,N,18
11-2033,11-2033.00,Fundraising Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,19
11-2033,11-2033.00,Fundraising Managers,Microsoft Access,Data base user interface and query software,Y,N,20
11-3012,11-3012.00,Administrative Services Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-3012,11-3012.00,Administrative Services Managers,Microsoft Office software,Office suite software,Y,Y,2
11-3012,11-3012.00,Administrative Services Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-3012,11-3012.00,Administrative Services Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-3012,11-3012.00,Administrative Services Managers,Microsoft Word,Word processing software,Y,Y,5
11-3012,11-3012.00,Administrative Services Managers,Adobe Acrobat,Document management software,Y,N,6
11-3012,11-3012.00,Administrative Services Managers,Atlassian JIRA,Content workflow software,Y,N,7
11-3012,11-3012.00,Administrative Services Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,8
11-3012,11-3012.00,Administrative Services Managers,Google Docs,Word processing software,Y,N,9
11-3012,11-3012.00,Administrative Services Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,10
11-3012,11-3012.00,Administrative Services Managers,Intuit QuickBooks,Accounting software,Y,N,11
11-3012,11-3012.00,Administrative Services Managers,Microsoft Access,Data base user interface and query software,Y,N,12
11-3012,11-3012.00,Administrative Services Managers,Microsoft Project,Project management software,Y,N,13
11-3012,11-3012.00,Administrative Services Managers,Microsoft SharePoint,Document management software,Y,N,14
11-3012,11-3012.00,Administrative Services Managers,Microsoft Visio,Process mapping and design software,Y,N,15
11-3012,11-3012.00,Administrative Services Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,16
11-3012,11-3012.00,Administrative Services Managers,Oracle Primavera Enterprise Project Portfolio Management,Project management software,Y,N,17
11-3012,11-3012.00,Administrative Services Managers,R,Object or component oriented development software,Y,N,18
11-3012,11-3012.00,Administrative Services Managers,SAP software,Enterprise resource planning ERP software,Y,N,19
11-3012,11-3012.00,Administrative Services Managers,SAS,Analytical or scientific software,Y,N,20
11-3013,11-3013.00,Facilities Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-3013,11-3013.00,Facilities Managers,Microsoft Office software,Office suite software,Y,Y,2
11-3013,11-3013.00,Facilities Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-3013,11-3013.00,Facilities Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-3013,11-3013.00,Facilities Managers,Microsoft Word,Word processing software,Y,Y,5
11-3013,11-3013.01,Security Managers,SAP software,Enterprise resource planning ERP software,Y,Y,6
11-3013,11-3013.00,Facilities Managers,Adobe Acrobat,Document management software,Y,N,7
11-3013,11-3013.01,Security Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,N,8
11-3013,11-3013.00,Facilities Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,9
11-3013,11-3013.00,Facilities Managers,Autodesk Revit,Computer aided design CAD software,Y,N,10
11-3013,11-3013.01,Security Managers,Facebook,Web page creation and editing software,Y,N,11
11-3013,11-3013.00,Facilities Managers,Google Docs,Word processing software,Y,N,12
11-3013,11-3013.00,Facilities Managers,Google Workspace software,Office suite software,Y,N,13
11-3013,11-3013.00,Facilities Managers,Intuit QuickBooks,Accounting software,Y,N,14
11-3013,11-3013.00,Facilities Managers,Microsoft Access,Data base user interface and query software,Y,N,15
11-3013,11-3013.01,Security Managers,Microsoft Azure software,Development environment software,Y,N,16
11-3013,11-3013.00,Facilities Managers,Microsoft Project,Project management software,Y,N,17
11-3013,11-3013.00,Facilities Managers,Microsoft SharePoint,Document management software,Y,N,18
11-3013,11-3013.00,Facilities Managers,Microsoft Visio,Process mapping and design software,Y,N,19
11-3013,11-3013.00,Facilities Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,20
11-3021,11-3021.00,Computer and Information Systems Managers,Amazon Web Services AWS software,Data base user interface and query software,Y,Y,1
11-3021,11-3021.00,Computer and Information Systems Managers,Microsoft Azure software,Development environment software,Y,Y,2
11-3021,11-3021.00,Computer and Information Systems Managers,Enterprise application integration EAI software,Enterprise application integration software,N,Y,3
11-3021,11-3021.00,Computer and Information Systems Managers,Apache Cassandra,Data base management system software,Y,N,4
11-3021,11-3021.00,Computer and Information Systems Managers,Apache Hadoop,Data base management system software,Y,N,5
11-3021,11-3021.00,Computer and Information Systems Managers,Apache Maven,Development environment software,Y,N,6
11-3021,11-3021.00,Computer and Information Systems Managers,Apache Tomcat,Web platform development software,Y,N,7
11-3021,11-3021.00,Computer and Information Systems Managers,Apple macOS,Operating system software,Y,N,8
11-3021,11-3021.00,Computer and Information Systems Managers,Atlassian JIRA,Content workflow software,Y,N,9
11-3021,11-3021.00,Computer and Information Systems Managers,C,Development environment software,Y,N,10
11-3021,11-3021.00,Computer and Information Systems Managers,C#,Object or component oriented development software,Y,N,11
11-3021,11-3021.00,Computer and Information Systems Managers,C++,Object or component oriented development software,Y,N,12
11-3021,11-3021.00,Computer and Information Systems Managers,Eclipse IDE,Development environment software,Y,N,13
11-3021,11-3021.00,Computer and Information Systems Managers,Extensible markup language XML,Enterprise application integration software,Y,N,14
11-3021,11-3021.00,Computer and Information Systems Managers,Google Analytics,Data mining software,Y,N,15
11-3021,11-3021.00,Computer and Information Systems Managers,Hypertext markup language HTML,Web platform development software,Y,N,16
11-3021,11-3021.00,Computer and Information Systems Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,17
11-3021,11-3021.00,Computer and Information Systems Managers,JavaScript,Web platform development software,Y,N,18
11-3021,11-3021.00,Computer and Information Systems Managers,Linux,Operating system software,Y,N,19
11-3021,11-3021.00,Computer and Information Systems Managers,Microsoft .NET Framework,Development environment software,Y,N,20
11-3031,11-3031.01,Treasurers and Controllers,Intuit QuickBooks,Accounting software,Y,Y,1
11-3031,11-3031.00,Financial Managers,Microsoft Excel,Spreadsheet software,Y,Y,2
11-3031,11-3031.00,Financial Managers,Microsoft Office software,Office suite software,Y,Y,3
11-3031,11-3031.00,Financial Managers,Microsoft Outlook,Electronic mail software,Y,Y,4
11-3031,11-3031.00,Financial Managers,Microsoft PowerPoint,Presentation software,Y,Y,5
11-3031,11-3031.00,Financial Managers,SAP software,Enterprise resource planning ERP software,Y,Y,6
11-3031,11-3031.00,Financial Managers,Adobe Acrobat,Document management software,Y,N,7
11-3031,11-3031.00,Financial Managers,Alteryx software,Business intelligence and data analysis software,Y,N,8
11-3031,11-3031.01,Treasurers and Controllers,Hypertext markup language HTML,Web platform development software,Y,N,9
11-3031,11-3031.00,Financial Managers,IBM SPSS Statistics,Analytical or scientific software,Y,N,10
11-3031,11-3031.00,Financial Managers,Marketo Marketing Automation,Sales and marketing software,Y,N,11
11-3031,11-3031.00,Financial Managers,Microsoft Access,Data base user interface and query software,Y,N,12
11-3031,11-3031.03,Investment Fund Managers,Microsoft Power BI,Business intelligence and data analysis software,Y,N,13
11-3031,11-3031.00,Financial Managers,Microsoft Project,Project management software,Y,N,14
11-3031,11-3031.00,Financial Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,15
11-3031,11-3031.00,Financial Managers,Microsoft SharePoint,Document management software,Y,N,16
11-3031,11-3031.00,Financial Managers,Microsoft Visio,Process mapping and design software,Y,N,17
11-3031,11-3031.00,Financial Managers,Microsoft Visual Basic,Development environment software,Y,N,18
11-3031,11-3031.00,Financial Managers,Microsoft Visual Basic for Applications VBA,Development environment software,Y,N,19
11-3031,11-3031.00,Financial Managers,Microsoft Windows,Operating system software,Y,N,20
11-3051,11-3051.00,Industrial Production Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-3051,11-3051.00,Industrial Production Managers,Microsoft Office software,Office suite software,Y,Y,2
11-3051,11-3051.00,Industrial Production Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-3051,11-3051.00,Industrial Production Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-3051,11-3051.00,Industrial Production Managers,SAP software,Enterprise resource planning ERP software,Y,Y,5
11-3051,11-3051.00,Industrial Production Managers,Adobe Acrobat,Document management software,Y,N,6
11-3051,11-3051.00,Industrial Production Managers,Adobe After Effects,Video creation and editing software,Y,N,7
11-3051,11-3051.00,Industrial Production Managers,Adobe InDesign,Desktop publishing software,Y,N,8
11-3051,11-3051.00,Industrial Production Managers,Adobe Photoshop,Graphics or photo imaging software,Y,N,9
11-3051,11-3051.06,Hydroelectric Production Managers,Apache Kafka,Development environment software,Y,N,10
11-3051,11-3051.01,Quality Control Systems Managers,Atlassian JIRA,Content workflow software,Y,N,11
11-3051,11-3051.00,Industrial Production Managers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,12
11-3051,11-3051.01,Quality Control Systems Managers,Extensible markup language XML,Enterprise application integration software,Y,N,13
11-3051,11-3051.00,Industrial Production Managers,Intuit QuickBooks,Accounting software,Y,N,14
11-3051,11-3051.01,Quality Control Systems Managers,Linux,Operating system software,Y,N,15
11-3051,11-3051.01,Quality Control Systems Managers,Microsoft Access,Data base user interface and query software,Y,N,16
11-3051,11-3051.06,Hydroelectric Production Managers,Microsoft Active Server Pages ASP,Web platform development software,Y,N,17
11-3051,11-3051.00,Industrial Production Managers,Microsoft Project,Project management software,Y,N,18
11-3051,11-3051.01,Quality Control Systems Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,19
11-3051,11-3051.01,Quality Control Systems Managers,Microsoft Visio,Process mapping and design software,Y,N,20
11-3061,11-3061.00,Purchasing Managers,Microsoft Excel,Spreadsheet software,Y,Y,1
11-3061,11-3061.00,Purchasing Managers,Microsoft Office software,Office suite software,Y,Y,2
11-3061,11-3061.00,Purchasing Managers,Microsoft Outlook,Electronic mail software,Y,Y,3
11-3061,11-3061.00,Purchasing Managers,Microsoft PowerPoint,Presentation software,Y,Y,4
11-3061,11-3061.00,Purchasing Managers,SAP software,Enterprise resource planning ERP software,Y,Y,5
11-3061,11-3061.00,Purchasing Managers,Purchasing software,Procurement software,N,Y,6
11-3061,11-3061.00,Purchasing Managers,Microsoft Access,Data base user interface and query software,Y,N,7
11-3061,11-3061.00,Purchasing Managers,Microsoft Project,Project management software,Y,N,8
11-3061,11-3061.00,Purchasing Managers,Microsoft SharePoint,Document management software,Y,N,9
11-3061,11-3061.00,Purchasing Managers,Microsoft Visio,Process mapping and design software,Y,N,10
11-3061,11-3061.00,Purchasing Managers,Microsoft Word,Word processing software,Y,N,11
11-3061,11-3061.00,Purchasing Managers,Oracle Database,Data base user interface and query software,Y,N,12
11-3061,11-3061.00,Purchasing Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,13
11-3061,11-3061.00,Purchasing Managers,Automated purchase order software,Procurement software,N,N,14
11-3061,11-3061.00,Purchasing Managers,Bottomline Technologies Bottomline Sprinter Purchasing Manager,Procurement software,N,N,15
11-3061,11-3061.00,Purchasing Managers,Bowen & Groves M1 ERP,Enterprise resource planning ERP software,N,N,16
11-3061,11-3061.00,Purchasing Managers,Corel Paradox,Data base user interface and query software,N,N,17
11-3061,11-3061.00,Purchasing Managers,Database software,Data base user interface and query software,N,N,18
11-3061,11-3061.00,Purchasing Managers,Epicor Vantage ERP,Enterprise resource planning ERP software,N,N,19
11-3061,11-3061.00,Purchasing Managers,IBM Lotus Notes,Electronic mail software,N,N,20
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Excel,Spreadsheet software,Y,Y,1
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Office software,Office suite software,Y,Y,2
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Outlook,Electronic mail software,Y,Y,3
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft PowerPoint,Presentation software,Y,Y,4
11-3071,11-3071.04,Supply Chain Managers,SAP software,Enterprise resource planning ERP software,Y,Y,5
11-3071,11-3071.04,Supply Chain Managers,Inventory management systems,Inventory management software,N,Y,6
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Warehouse management system WMS,Materials requirements planning logistics and supply chain software,N,Y,7
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Autodesk AutoCAD Civil 3D,Computer aided design CAD software,Y,N,8
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Bentley MicroStation,Computer aided design CAD software,Y,N,9
11-3071,11-3071.04,Supply Chain Managers,MEDITECH software,Medical software,Y,N,10
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Access,Data base user interface and query software,Y,N,11
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Project,Project management software,Y,N,12
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft SQL Server,Data base user interface and query software,Y,N,13
11-3071,11-3071.04,Supply Chain Managers,Microsoft SharePoint,Document management software,Y,N,14
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Visio,Process mapping and design software,Y,N,15
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft Word,Word processing software,Y,N,16
11-3071,11-3071.04,Supply Chain Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N,17
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Oracle Primavera Enterprise Project Portfolio Management,Project management software,Y,N,18
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",Structured query language SQL,Data base user interface and query software,Y,N,19
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",3PL Central,Materials requirements planning logistics and supply chain software,N,N,20
