soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
47-4051,47-4051.00,Highway Maintenance Workers,Microsoft Office software,Office suite software,Y,N,2
47-4051,47-4051.00,Highway Maintenance Workers,Microsoft Outlook,Electronic mail software,Y,N,3
47-4051,47-4051.00,Highway Maintenance Workers,Microsoft PowerPoint,Presentation software,Y,N,4
47-4051,47-4051.00,Highway Maintenance Workers,Microsoft Word,Word processing software,Y,N,5
47-4051,47-4051.00,Highway Maintenance Workers,Database software,Data base user interface and query software,N,N,6
47-4051,47-4051.00,Highway Maintenance Workers,Web browser software,Internet browser software,N,N,7
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Microsoft Excel,Spreadsheet software,Y,N,1
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Microsoft Office software,Office suite software,Y,N,2
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Timekeeping software,Time accounting software,N,N,3
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Intuit QuickBooks,Accounting software,Y,N,1
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Microsoft Excel,Spreadsheet software,Y,N,2
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Microsoft Word,Word processing software,Y,N,3
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Route mapping software,Route navigation software,N,N,4
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Web browser software,Internet browser software,N,N,5
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Work scheduling software,Calendar and scheduling software,N,N,6
47-4091,47-4091.00,Segmental Pavers,Microsoft Excel,Spreadsheet software,Y,N,1
47-4091,47-4091.00,Segmental Pavers,Microsoft Office software,Office suite software,Y,N,2
47-4091,47-4091.00,Segmental Pavers,Microsoft PowerPoint,Presentation software,Y,N,3
47-4091,47-4091.00,Segmental Pavers,Microsoft Word,Word processing software,Y,N,4
47-4091,47-4091.00,Segmental Pavers,Database software,Data base user interface and query software,N,N,5
