geography_type,area_code,geography,education_category,employment_2025,share_of_employment_percent,employment_relative_standard_error,hourly_mean_wage_2025,annual_mean_wage_2025,mean_wage_relative_standard_error,hourly_median_wage_2025,annual_median_wage_2025,annual_wage_p10_2025,annual_wage_p25_2025,annual_wage_p75_2025,annual_wage_p90_2025,source_vintage
National,99,U.S.,Doctoral or professional degree,4000490.0,2.5727330261737738,0.3,79.6,165580.0,0.5,61.96,128870.0,62190.0,82270.0,204830.0,345660.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Master's degree,3573310.0,2.2980116560113903,0.3,46.12,95930.0,0.2,40.0,83210.0,46730.0,60780.0,122240.0,158540.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Bachelor's degree,38977680.0,25.06672048164924,0.1,53.47,111220.0,0.1,46.38,96480.0,49930.0,66120.0,133210.0,185290.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Associate's degree,3317490.0,2.133492668898368,0.4,34.3,71350.0,0.2,31.25,64990.0,37190.0,48060.0,86740.0,107410.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,Postsecondary nondegree award,9660290.0,6.212575740825809,0.2,27.21,56590.0,0.1,23.99,49910.0,35750.0,40870.0,64400.0,81580.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,"Some college, no degree",3882080.0,2.496583025141591,0.3,24.56,51080.0,0.3,22.44,46670.0,30160.0,36670.0,59680.0,75990.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,High school diploma or equivalent,54661270.0,35.15290741424218,0.1,26.89,55920.0,0.1,23.1,48050.0,32910.0,38060.0,63870.0,87470.0,BLS OEWS May 2025 special education aggregation
National,99,U.S.,No formal educational credential,37423120.0,24.066975987057653,0.1,18.88,39270.0,0.1,17.5,36400.0,27040.0,30880.0,44570.0,55510.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Doctoral or professional degree,45120.0,2.1348,2.0,69.27,144090.0,2.6,51.17,106430.0,58400.0,74190.0,164830.0,304000.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Master's degree,41910.0,1.9828,1.6,40.99,85260.0,1.0,36.61,76160.0,42740.0,57110.0,102430.0,129690.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Bachelor's degree,456500.0,21.5976,0.5,44.48,92520.0,0.4,37.87,78770.0,45410.0,60660.0,111460.0,160050.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Associate's degree,46350.0,2.1928,2.0,26.79,55720.0,0.7,26.41,54930.0,28440.0,37700.0,68270.0,82180.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,Postsecondary nondegree award,153490.0,7.2616,0.9,23.53,48940.0,0.5,21.51,44730.0,30000.0,35990.0,59430.0,75370.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,"Some college, no degree",39450.0,1.8663,2.2,19.91,41420.0,0.8,18.92,39350.0,22980.0,28340.0,49550.0,61000.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,High school diploma or equivalent,807220.0,38.1909,0.4,24.02,49960.0,0.3,21.69,45110.0,28110.0,35180.0,59930.0,77860.0,BLS OEWS May 2025 special education aggregation
State,1,Alabama,No formal educational credential,523620.0,24.7732,0.5,15.77,32810.0,0.3,14.46,30070.0,21820.0,26020.0,36740.0,46370.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Doctoral or professional degree,,,,96.18,200050.0,2.7,69.75,145090.0,71170.0,98520.0,242410.0,418440.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Master's degree,,,,49.31,102550.0,1.0,47.03,97810.0,53850.0,71240.0,126070.0,160230.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Bachelor's degree,77810.0,23.9008,0.9,52.42,109020.0,0.4,47.04,97840.0,59130.0,76390.0,128970.0,166540.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Associate's degree,7830.0,2.4057,2.6,41.15,85600.0,1.5,37.95,78930.0,43530.0,57080.0,104650.0,133320.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,Postsecondary nondegree award,22420.0,6.885599999999999,1.5,33.49,69660.0,0.9,29.77,61920.0,42370.0,48900.0,81060.0,104410.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,"Some college, no degree",10120.0,3.1099,2.5,24.4,50750.0,0.7,23.48,48840.0,29390.0,38010.0,60420.0,73760.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,High school diploma or equivalent,116350.0,35.737700000000004,0.8,31.16,64810.0,0.4,27.89,58010.0,36980.0,45090.0,78150.0,102290.0,BLS OEWS May 2025 special education aggregation
State,2,Alaska,No formal educational credential,75890.0,23.3117,1.0,21.01,43690.0,0.6,18.33,38130.0,28300.0,33650.0,47440.0,63440.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Doctoral or professional degree,75810.0,2.3402000000000003,2.3,82.53,171660.0,2.7,62.75,130510.0,67140.0,82900.0,207480.0,371840.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Master's degree,69940.0,2.159,2.0,43.25,89960.0,1.2,37.71,78440.0,46440.0,57880.0,110640.0,141680.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Bachelor's degree,801250.0,24.7344,0.7,50.2,104420.0,1.1,42.8,89030.0,48560.0,62660.0,127950.0,169990.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Associate's degree,66790.0,2.0618,2.6,33.39,69440.0,0.9,30.66,63760.0,36540.0,46450.0,86120.0,105020.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,Postsecondary nondegree award,196750.0,6.0735,1.6,26.91,55970.0,0.8,23.52,48920.0,36920.0,42560.0,62940.0,80550.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,"Some college, no degree",71620.0,2.2108,2.3,24.15,50220.0,0.7,22.24,46270.0,32690.0,36350.0,59440.0,74880.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,High school diploma or equivalent,1144340.0,35.3254,0.5,26.49,55110.0,0.3,23.16,48170.0,35200.0,38730.0,62660.0,81060.0,BLS OEWS May 2025 special education aggregation
State,4,Arizona,No formal educational credential,812930.0,25.095,0.6,19.98,41550.0,0.4,17.76,36930.0,31100.0,34090.0,45630.0,58010.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Doctoral or professional degree,27860.0,2.1369,1.9,67.52,140430.0,2.5,48.13,100120.0,50250.0,64330.0,164890.0,304800.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Master's degree,27860.0,2.1367000000000003,2.2,41.87,87080.0,1.6,37.6,78200.0,40680.0,57200.0,107150.0,135200.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Bachelor's degree,280190.0,21.4929,0.5,40.58,84400.0,0.7,34.17,71070.0,39840.0,51780.0,100420.0,139420.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Associate's degree,23750.0,1.8219,2.1,29.79,61960.0,1.0,28.84,59990.0,32290.0,43240.0,78300.0,93900.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,Postsecondary nondegree award,102590.0,7.869400000000001,1.2,23.54,48970.0,0.5,21.86,45460.0,30320.0,35890.0,59200.0,72260.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,"Some college, no degree",29800.0,2.2861000000000002,2.8,19.53,40630.0,0.7,17.92,37270.0,24560.0,28850.0,47430.0,59750.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,High school diploma or equivalent,482060.0,36.977999999999994,0.5,22.85,47540.0,0.3,20.28,42180.0,28400.0,34450.0,54790.0,72710.0,BLS OEWS May 2025 special education aggregation
State,5,Arkansas,No formal educational credential,329530.0,25.278100000000002,0.5,15.98,33230.0,0.3,14.51,30180.0,23690.0,26890.0,36890.0,45610.0,BLS OEWS May 2025 special education aggregation
State,6,California,Doctoral or professional degree,462940.0,2.5417,1.4,87.44,181870.0,2.4,74.77,155520.0,74510.0,102380.0,217050.0,338460.0,BLS OEWS May 2025 special education aggregation
State,6,California,Master's degree,422200.0,2.318,1.0,51.02,106120.0,0.6,47.05,97870.0,47000.0,61120.0,135140.0,173100.0,BLS OEWS May 2025 special education aggregation
State,6,California,Bachelor's degree,4768880.0,26.183,0.4,63.62,132320.0,0.2,55.16,114730.0,58690.0,78520.0,166300.0,218780.0,BLS OEWS May 2025 special education aggregation
State,6,California,Associate's degree,370100.0,2.032,1.8,40.63,84510.0,0.8,36.79,76510.0,45640.0,55890.0,104670.0,133620.0,BLS OEWS May 2025 special education aggregation
State,6,California,Postsecondary nondegree award,1015220.0,5.5739,0.7,31.19,64870.0,0.3,28.25,58770.0,38480.0,46670.0,76700.0,96380.0,BLS OEWS May 2025 special education aggregation
State,6,California,"Some college, no degree",494670.0,2.7159,1.7,30.79,64030.0,2.1,24.69,51350.0,38020.0,45130.0,66000.0,94300.0,BLS OEWS May 2025 special education aggregation
State,6,California,High school diploma or equivalent,6216350.0,34.1301,0.2,29.39,61130.0,0.2,24.02,49960.0,34900.0,38940.0,73110.0,99840.0,BLS OEWS May 2025 special education aggregation
State,6,California,No formal educational credential,4463340.0,24.5054,0.3,21.63,44990.0,0.2,19.42,40390.0,35050.0,36540.0,47260.0,59730.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Doctoral or professional degree,77570.0,2.6991,1.2,80.29,167010.0,2.2,62.34,129660.0,61990.0,82850.0,207480.0,332990.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Master's degree,67760.0,2.3578,1.7,46.08,95850.0,1.6,40.5,84240.0,48370.0,62110.0,120720.0,148520.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Bachelor's degree,808150.0,28.1202,0.5,56.19,116880.0,0.5,48.82,101540.0,57460.0,76030.0,139230.0,194420.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Associate's degree,61530.0,2.1409,2.4,37.89,78810.0,1.0,36.44,75800.0,45680.0,56570.0,98200.0,119220.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,Postsecondary nondegree award,155530.0,5.4117,1.2,29.52,61400.0,0.6,27.17,56510.0,38870.0,46540.0,71600.0,91290.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,"Some college, no degree",70360.0,2.4482,2.1,26.7,55530.0,0.7,23.87,49650.0,30800.0,38200.0,64380.0,83600.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,High school diploma or equivalent,946090.0,32.92,0.4,30.09,62590.0,0.6,26.46,55040.0,37560.0,44680.0,73940.0,97240.0,BLS OEWS May 2025 special education aggregation
State,8,Colorado,No formal educational credential,686920.0,23.902,0.4,21.28,44260.0,0.5,18.89,39290.0,31940.0,35970.0,47130.0,59490.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Doctoral or professional degree,57610.0,3.3965000000000005,1.3,76.41,158930.0,1.4,60.62,126090.0,65720.0,85910.0,185810.0,326860.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Master's degree,47230.0,2.7847,1.8,50.04,104080.0,0.7,47.15,98070.0,49630.0,68300.0,131190.0,166430.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Bachelor's degree,455970.0,26.8824,0.5,58.34,121350.0,0.5,49.53,103020.0,58680.0,78700.0,140620.0,203590.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Associate's degree,37080.0,2.1863,2.8,36.4,75710.0,0.9,35.87,74610.0,43680.0,55850.0,96810.0,106840.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,Postsecondary nondegree award,108220.0,6.3805,1.3,28.71,59730.0,0.5,26.11,54300.0,38190.0,44890.0,72650.0,84240.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,"Some college, no degree",48470.0,2.8576,1.9,26.39,54900.0,0.7,23.47,48810.0,34010.0,38500.0,64240.0,81590.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,High school diploma or equivalent,570110.0,33.6115,0.5,28.89,60100.0,0.3,24.58,51120.0,35940.0,40880.0,72240.0,95480.0,BLS OEWS May 2025 special education aggregation
State,9,Connecticut,No formal educational credential,371470.0,21.9006,0.5,20.35,42330.0,0.3,17.93,37290.0,34010.0,35210.0,45280.0,57700.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,Doctoral or professional degree,13360.0,2.7567,2.0,86.56,180040.0,1.9,67.67,140760.0,77370.0,100660.0,222650.0,354910.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,Master's degree,13370.0,2.7584,2.9,45.68,95010.0,1.6,40.27,83750.0,47840.0,61110.0,125720.0,150210.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,Bachelor's degree,118350.0,24.413,0.7,53.86,112030.0,1.1,47.39,98560.0,57260.0,75470.0,132400.0,176440.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,Associate's degree,12300.0,2.5373,2.8,32.69,68000.0,1.1,30.39,63210.0,36370.0,46120.0,84410.0,100470.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,Postsecondary nondegree award,32860.0,6.7777,1.8,26.27,54640.0,0.6,24.44,50820.0,36410.0,42280.0,61150.0,75610.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,"Some college, no degree",12570.0,2.5932,3.0,23.7,49300.0,1.3,22.28,46330.0,33150.0,36890.0,57130.0,69380.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,High school diploma or equivalent,156670.0,32.318,0.7,26.88,55910.0,0.3,23.39,48650.0,32910.0,38200.0,64960.0,86010.0,BLS OEWS May 2025 special education aggregation
State,10,Delaware,No formal educational credential,125300.0,25.845800000000004,0.7,18.92,39360.0,0.3,17.29,35950.0,31200.0,31460.0,42600.0,54690.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,Doctoral or professional degree,49350.0,7.0304,1.6,101.11,210300.0,1.5,93.79,195080.0,79720.0,124590.0,281790.0,381390.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,Master's degree,22340.0,3.1825,4.0,61.32,127540.0,1.8,59.6,123960.0,62210.0,84990.0,156750.0,195190.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,Bachelor's degree,329030.0,46.875099999999996,0.6,66.86,139070.0,0.5,61.83,128610.0,69680.0,93520.0,170980.0,210610.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,Associate's degree,17280.0,2.4625,3.8,44.17,91860.0,1.6,40.18,83570.0,47760.0,62520.0,114030.0,135260.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,Postsecondary nondegree award,18190.0,2.5908,2.1,32.09,66740.0,1.4,28.78,59870.0,41600.0,47790.0,77730.0,101160.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,"Some college, no degree",9370.0,1.3347,7.0,31.44,65390.0,2.6,27.48,57160.0,39940.0,46920.0,79030.0,100820.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,High school diploma or equivalent,152040.0,21.6603,1.3,33.29,69240.0,0.6,29.44,61240.0,38650.0,45830.0,79920.0,106290.0,BLS OEWS May 2025 special education aggregation
State,11,District of Columbia,No formal educational credential,104330.0,14.8637,1.2,23.03,47900.0,1.1,19.52,40610.0,36480.0,37870.0,48610.0,64360.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,Doctoral or professional degree,232570.0,2.3422,1.4,78.86,164020.0,2.5,60.53,125890.0,59980.0,79400.0,205400.0,352990.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,Master's degree,203490.0,2.0492999999999997,2.0,42.29,87970.0,1.2,37.56,78120.0,45610.0,56610.0,105820.0,135670.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,Bachelor's degree,2396060.0,24.1299,0.4,49.33,102600.0,0.3,39.96,83120.0,47790.0,61000.0,125210.0,171060.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,Associate's degree,224150.0,2.2573,1.4,31.25,65000.0,0.6,29.82,62030.0,35470.0,44530.0,80040.0,97410.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,Postsecondary nondegree award,661810.0,6.6649,0.8,25.7,53460.0,0.3,22.79,47410.0,34990.0,38070.0,61210.0,77790.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,"Some college, no degree",219780.0,2.2133,1.5,24.05,50020.0,0.7,22.19,46160.0,30470.0,35970.0,59130.0,74970.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,High school diploma or equivalent,3351100.0,33.747699999999995,0.4,25.79,53650.0,0.2,22.5,46800.0,32000.0,37270.0,61250.0,80500.0,BLS OEWS May 2025 special education aggregation
State,12,Florida,No formal educational credential,2640900.0,26.5956,0.4,18.12,37690.0,0.2,16.92,35190.0,28020.0,29620.0,40020.0,49070.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,Doctoral or professional degree,108680.0,2.2228000000000003,1.5,85.72,178290.0,4.3,61.75,128430.0,56800.0,80650.0,208810.0,375610.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,Master's degree,91870.0,1.879,1.9,44.42,92380.0,1.1,40.16,83520.0,47510.0,61650.0,115150.0,138970.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,Bachelor's degree,1240950.0,25.3816,0.4,51.14,106380.0,0.6,42.42,88230.0,47160.0,63110.0,128960.0,173310.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,Associate's degree,103600.0,2.1189,2.2,33.97,70670.0,1.1,31.1,64680.0,36470.0,47400.0,86020.0,104010.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,Postsecondary nondegree award,315290.0,6.4488,0.9,25.71,53480.0,0.5,23.01,47860.0,34330.0,38550.0,62100.0,78090.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,"Some college, no degree",109380.0,2.2372,1.8,23.46,48790.0,0.9,21.51,44740.0,23960.0,31200.0,59410.0,77650.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,High school diploma or equivalent,1710280.0,34.981,0.4,25.55,53150.0,0.3,22.39,46570.0,29540.0,36580.0,61690.0,81110.0,BLS OEWS May 2025 special education aggregation
State,13,Georgia,No formal educational credential,1209120.0,24.730600000000003,0.5,16.71,34750.0,0.5,16.12,33540.0,21860.0,27590.0,38810.0,47650.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,Doctoral or professional degree,17210.0,2.7428999999999997,2.6,76.94,160030.0,2.9,62.21,129400.0,49760.0,79560.0,179250.0,347120.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,Master's degree,13570.0,2.162,2.9,44.87,93330.0,1.6,41.15,85590.0,49440.0,59940.0,120810.0,153680.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,Bachelor's degree,134620.0,21.452199999999998,0.8,50.5,105050.0,0.5,43.72,90930.0,51100.0,63560.0,128900.0,162600.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,Associate's degree,11490.0,1.8305,3.0,35.14,73100.0,1.0,30.96,64390.0,40800.0,49790.0,94680.0,111730.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,Postsecondary nondegree award,35100.0,5.5933,2.1,30.65,63750.0,1.6,27.22,56610.0,38260.0,46450.0,70480.0,94570.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,"Some college, no degree",14790.0,2.3563,3.0,25.88,53830.0,8.2,21.87,45490.0,32310.0,36230.0,55340.0,66560.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,High school diploma or equivalent,209910.0,33.449799999999996,0.7,29.57,61500.0,0.4,25.65,53340.0,35920.0,42360.0,73370.0,100330.0,BLS OEWS May 2025 special education aggregation
State,15,Hawaii,No formal educational credential,190850.0,30.4129,0.7,23.05,47930.0,0.8,19.89,41380.0,30100.0,35160.0,53220.0,72420.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,Doctoral or professional degree,18120.0,2.1132,2.1,69.08,143690.0,2.1,52.0,108160.0,54140.0,76540.0,161220.0,318030.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,Master's degree,19810.0,2.3108,4.5,44.25,92050.0,4.6,38.41,79880.0,46830.0,59200.0,111120.0,146210.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,Bachelor's degree,179910.0,20.982400000000002,0.8,46.31,96320.0,0.6,39.27,81690.0,46800.0,60930.0,114710.0,161920.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,Associate's degree,20440.0,2.3838,2.2,32.64,67890.0,0.8,30.31,63030.0,37790.0,47580.0,85510.0,100300.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,Postsecondary nondegree award,60740.0,7.0844,1.5,25.56,53160.0,0.7,23.15,48160.0,34420.0,39200.0,61430.0,77230.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,"Some college, no degree",22980.0,2.6806,2.7,22.55,46910.0,0.9,21.21,44110.0,28840.0,35240.0,55720.0,70720.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,High school diploma or equivalent,325280.0,37.9364,0.5,25.38,52780.0,0.3,22.59,47000.0,30880.0,37430.0,60930.0,80050.0,BLS OEWS May 2025 special education aggregation
State,16,Idaho,No formal educational credential,210150.0,24.5085,0.7,17.91,37250.0,0.4,17.19,35750.0,22670.0,29130.0,43620.0,52520.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,Doctoral or professional degree,162070.0,2.6577,1.8,73.79,153470.0,1.4,56.88,118320.0,59570.0,80280.0,176850.0,322960.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,Master's degree,136520.0,2.2388000000000003,1.7,44.22,91980.0,1.5,39.3,81750.0,46540.0,59900.0,112260.0,140750.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,Bachelor's degree,1581790.0,25.939,0.5,53.64,111570.0,0.3,47.19,98160.0,50460.0,70570.0,131770.0,180610.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,Associate's degree,121710.0,1.9959,2.1,33.9,70520.0,1.0,31.12,64730.0,38480.0,47080.0,86050.0,104190.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,Postsecondary nondegree award,368540.0,6.0435,1.6,28.0,58230.0,0.7,24.07,50070.0,36820.0,43240.0,68370.0,87240.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,"Some college, no degree",155500.0,2.55,1.7,23.12,48090.0,0.7,21.83,45400.0,31200.0,36030.0,56630.0,69910.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,High school diploma or equivalent,2122530.0,34.8063,0.5,27.92,58080.0,0.2,23.34,48550.0,34880.0,38470.0,66460.0,96030.0,BLS OEWS May 2025 special education aggregation
State,17,Illinois,No formal educational credential,1449460.0,23.7688,0.5,19.58,40720.0,0.3,17.5,36410.0,31200.0,31870.0,44790.0,54760.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,Doctoral or professional degree,77270.0,2.4139,1.4,81.54,169600.0,1.6,59.59,123940.0,61980.0,80410.0,209490.0,383560.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,Master's degree,65890.0,2.0581,1.7,41.45,86220.0,1.1,36.94,76830.0,42690.0,54010.0,105880.0,133080.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,Bachelor's degree,612930.0,19.1468,0.5,45.38,94380.0,0.3,38.75,80600.0,47310.0,60570.0,108410.0,156800.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,Associate's degree,68320.0,2.1343,1.5,32.18,66930.0,0.6,30.42,63280.0,36950.0,46850.0,81470.0,99580.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,Postsecondary nondegree award,226790.0,7.0846,1.0,26.33,54760.0,0.4,23.65,49190.0,36420.0,39610.0,64120.0,77540.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,"Some college, no degree",78130.0,2.4405,1.6,21.9,45540.0,0.9,20.71,43070.0,28870.0,33810.0,53240.0,65000.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,High school diploma or equivalent,1252260.0,39.1182,0.3,25.92,53920.0,0.2,22.94,47700.0,31630.0,37920.0,62400.0,81940.0,BLS OEWS May 2025 special education aggregation
State,18,Indiana,No formal educational credential,819630.0,25.6036,0.4,17.64,36690.0,0.2,16.86,35070.0,23290.0,28750.0,42450.0,50020.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,Doctoral or professional degree,33250.0,2.1325,1.3,71.03,147750.0,1.2,52.25,108680.0,59820.0,78130.0,165950.0,318970.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,Master's degree,34590.0,2.2183,1.6,41.18,85650.0,0.9,36.57,76070.0,44550.0,53840.0,104470.0,135660.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,Bachelor's degree,340300.0,21.8249,0.5,43.41,90280.0,0.5,37.62,78250.0,46800.0,60370.0,104530.0,146110.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,Associate's degree,35130.0,2.253,2.1,29.45,61260.0,0.7,29.16,60640.0,33340.0,43360.0,78160.0,91770.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,Postsecondary nondegree award,110440.0,7.082800000000001,1.2,26.01,54100.0,0.5,23.68,49250.0,36500.0,40450.0,61860.0,76890.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,"Some college, no degree",46390.0,2.9752,2.2,19.86,41310.0,0.9,17.51,36410.0,23880.0,30010.0,48850.0,62120.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,High school diploma or equivalent,562850.0,36.097899999999996,0.4,25.9,53870.0,0.2,23.42,48710.0,32950.0,38910.0,62200.0,79970.0,BLS OEWS May 2025 special education aggregation
State,19,Iowa,No formal educational credential,396290.0,25.4156,0.4,17.38,36140.0,0.4,16.76,34850.0,22420.0,28510.0,42600.0,49920.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,Doctoral or professional degree,32890.0,2.2879,2.5,68.59,142670.0,2.7,51.62,107360.0,52790.0,75160.0,164960.0,303660.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,Master's degree,30500.0,2.1216999999999997,2.0,41.95,87260.0,1.5,36.65,76230.0,45290.0,56330.0,106720.0,135330.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,Bachelor's degree,324430.0,22.5685,0.6,44.8,93180.0,0.5,37.98,79000.0,46990.0,59990.0,109990.0,158520.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,Associate's degree,27350.0,1.9022999999999999,2.2,32.64,67880.0,0.7,30.66,63780.0,39830.0,49800.0,80100.0,97140.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,Postsecondary nondegree award,103790.0,7.2199,1.5,25.22,52460.0,0.5,22.76,47350.0,34900.0,38090.0,61510.0,77650.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,"Some college, no degree",44330.0,3.084,1.5,19.76,41090.0,0.6,18.14,37730.0,22450.0,29160.0,49790.0,61810.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,High school diploma or equivalent,523520.0,36.4182,0.4,25.56,53160.0,0.3,22.63,47060.0,30510.0,37230.0,61750.0,80910.0,BLS OEWS May 2025 special education aggregation
State,20,Kansas,No formal educational credential,350720.0,24.397399999999998,0.5,17.32,36020.0,0.4,16.39,34080.0,22880.0,28170.0,42390.0,49280.0,BLS OEWS May 2025 special education aggregation
State,21,Kentucky,Doctoral or professional degree,44970.0,2.2483,1.8,74.22,154380.0,1.8,52.35,108890.0,52220.0,72790.0,166990.0,337530.0,BLS OEWS May 2025 special education aggregation
State,21,Kentucky,Master's degree,45500.0,2.2746,1.8,41.95,87250.0,1.6,37.4,77790.0,42290.0,56220.0,105090.0,135460.0,BLS OEWS May 2025 special education aggregation
State,21,Kentucky,Bachelor's degree,407470.0,20.3699,0.6,44.44,92430.0,0.7,37.47,77930.0,46160.0,59230.0,104750.0,153800.0,BLS OEWS May 2025 special education aggregation
