soc_code,onet_soc_code,occupation_title,education_level,respondent_share_percent,source_date,rank
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Post-secondary certificate,10.34,08/2019,6
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Bachelor's degree,75.66,08/2018,1
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Master's degree,13.8,08/2018,2
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Post-baccalaureate certificate,10.54,08/2018,3
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Less than high school diploma,0.0,08/2018,4
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",High school diploma or equivalent,0.0,08/2018,5
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Post-secondary certificate,0.0,08/2018,6
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Bachelor's degree,78.17,08/2024,1
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Master's degree,21.83,08/2024,2
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Less than high school diploma,0.0,08/2024,3
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",High school diploma or equivalent,0.0,08/2024,4
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Post-secondary certificate,0.0,08/2024,5
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Some college, no degree",0.0,08/2024,6
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Bachelor's degree,66.94,08/2024,1
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Post-baccalaureate certificate,21.3,08/2024,2
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Less than high school diploma,9.58,08/2024,3
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Master's degree,2.18,08/2024,4
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",High school diploma or equivalent,0.0,08/2024,5
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Post-secondary certificate,0.0,08/2024,6
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Bachelor's degree,64.92,08/2018,1
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Master's degree,18.82,08/2018,2
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Post-baccalaureate certificate,15.7,08/2018,3
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Post-secondary certificate,0.56,08/2018,4
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Less than high school diploma,0.0,08/2018,5
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",High school diploma or equivalent,0.0,08/2018,6
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Bachelor's degree,76.97,08/2025,1
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Post-baccalaureate certificate,7.76,08/2025,2
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Post-master's certificate,7.76,08/2025,3
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Associate's degree,3.99,08/2025,4
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Master's degree,3.53,08/2025,5
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Less than high school diploma,0.0,08/2025,6
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",Bachelor's degree,40.12,08/2025,1
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",Master's degree,22.57,08/2025,2
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",Associate's degree,13.09,08/2025,3
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",Post-secondary certificate,8.11,08/2025,4
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",High school diploma or equivalent,7.41,08/2025,5
25-2032,25-2032.00,"Career/Technical Education Teachers, Secondary School",Post-baccalaureate certificate,4.3,08/2025,6
25-2051,25-2051.00,"Special Education Teachers, Preschool",Bachelor's degree,31.72,08/2019,1
25-2051,25-2051.00,"Special Education Teachers, Preschool",Post-baccalaureate certificate,31.71,08/2019,2
25-2051,25-2051.00,"Special Education Teachers, Preschool",Master's degree,24.3,08/2019,3
25-2051,25-2051.00,"Special Education Teachers, Preschool",First professional degree,7.83,08/2019,4
25-2051,25-2051.00,"Special Education Teachers, Preschool",Associate's degree,3.0,08/2019,5
25-2051,25-2051.00,"Special Education Teachers, Preschool","Some college, no degree",1.44,08/2019,6
25-2056,25-2056.00,"Special Education Teachers, Elementary School",Bachelor's degree,51.39,08/2025,1
25-2056,25-2056.00,"Special Education Teachers, Elementary School",Master's degree,37.67,08/2025,2
25-2056,25-2056.00,"Special Education Teachers, Elementary School",High school diploma or equivalent,10.31,08/2025,3
25-2056,25-2056.00,"Special Education Teachers, Elementary School",Associate's degree,0.31,08/2025,4
25-2056,25-2056.00,"Special Education Teachers, Elementary School",Post-baccalaureate certificate,0.19,08/2025,5
25-2056,25-2056.00,"Special Education Teachers, Elementary School",Post-master's certificate,0.14,08/2025,6
25-2057,25-2057.00,"Special Education Teachers, Middle School",Bachelor's degree,82.13,08/2025,1
25-2057,25-2057.00,"Special Education Teachers, Middle School",Master's degree,17.49,08/2025,2
25-2057,25-2057.00,"Special Education Teachers, Middle School",Post-baccalaureate certificate,0.38,08/2025,3
25-2057,25-2057.00,"Special Education Teachers, Middle School",Less than high school diploma,0.0,08/2025,4
25-2057,25-2057.00,"Special Education Teachers, Middle School",High school diploma or equivalent,0.0,08/2025,5
25-2057,25-2057.00,"Special Education Teachers, Middle School",Post-secondary certificate,0.0,08/2025,6
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Bachelor's degree,42.35,08/2025,1
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Master's degree,42.17,08/2025,2
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Post-baccalaureate certificate,15.0,08/2025,3
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Associate's degree,0.24,08/2025,4
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Post-master's certificate,0.24,08/2025,5
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Less than high school diploma,0.0,08/2025,6
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Bachelor's degree,40.84,08/2018,1
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Master's degree,19.76,08/2018,2
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",High school diploma or equivalent,11.38,08/2018,3
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Associate's degree,11.38,08/2018,4
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Post-baccalaureate certificate,11.38,08/2018,5
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Some college, no degree",3.28,08/2018,6
25-3021,25-3021.00,Self-Enrichment Teachers,Post-secondary certificate,18.48,08/2019,1
25-3021,25-3021.00,Self-Enrichment Teachers,Bachelor's degree,18.09,08/2019,2
25-3021,25-3021.00,Self-Enrichment Teachers,High school diploma or equivalent,13.51,08/2019,3
25-3021,25-3021.00,Self-Enrichment Teachers,Associate's degree,13.51,08/2019,4
25-3021,25-3021.00,Self-Enrichment Teachers,Post-doctoral training,0.76,08/2019,5
25-3021,25-3021.00,Self-Enrichment Teachers,Post-baccalaureate certificate,0.69,08/2019,6
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Bachelor's degree,39.66,08/2025,1
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Associate's degree,34.6,08/2025,2
25-3031,25-3031.00,"Substitute Teachers, Short-Term","Some college, no degree",10.42,08/2025,3
25-3031,25-3031.00,"Substitute Teachers, Short-Term",High school diploma or equivalent,10.05,08/2025,4
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Master's degree,4.63,08/2025,5
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Post-baccalaureate certificate,0.49,08/2025,6
25-4012,25-4012.00,Curators,Master's degree,44.05,08/2018,1
25-4012,25-4012.00,Curators,Doctoral degree,34.75,08/2018,2
25-4012,25-4012.00,Curators,Post-baccalaureate certificate,8.09,08/2018,3
25-4012,25-4012.00,Curators,Bachelor's degree,6.13,08/2018,4
25-4012,25-4012.00,Curators,"Some college, no degree",3.37,08/2018,5
25-4012,25-4012.00,Curators,Post-doctoral training,2.12,08/2018,6
25-4013,25-4013.00,Museum Technicians and Conservators,Master's degree,41.3,08/2018,1
25-4013,25-4013.00,Museum Technicians and Conservators,Bachelor's degree,24.11,08/2018,2
25-4013,25-4013.00,Museum Technicians and Conservators,Post-secondary certificate,20.32,08/2018,3
25-4013,25-4013.00,Museum Technicians and Conservators,Associate's degree,7.18,08/2018,4
25-4013,25-4013.00,Museum Technicians and Conservators,Post-master's certificate,5.79,08/2018,5
25-4013,25-4013.00,Museum Technicians and Conservators,High school diploma or equivalent,1.29,08/2018,6
25-4022,25-4022.00,Librarians and Media Collections Specialists,Master's degree,64.65,08/2022,1
25-4022,25-4022.00,Librarians and Media Collections Specialists,"Some college, no degree",10.22,08/2022,2
25-4022,25-4022.00,Librarians and Media Collections Specialists,Bachelor's degree,8.19,08/2022,3
25-4022,25-4022.00,Librarians and Media Collections Specialists,Post-master's certificate,4.67,08/2022,4
25-4022,25-4022.00,Librarians and Media Collections Specialists,Post-secondary certificate,4.45,08/2022,5
25-4022,25-4022.00,Librarians and Media Collections Specialists,Associate's degree,3.65,08/2022,6
25-4031,25-4031.00,Library Technicians,Bachelor's degree,29.62,07/2017,1
25-4031,25-4031.00,Library Technicians,Associate's degree,27.66,07/2017,2
25-4031,25-4031.00,Library Technicians,Post-secondary certificate,17.05,07/2017,3
25-4031,25-4031.00,Library Technicians,High school diploma or equivalent,15.02,07/2017,4
25-4031,25-4031.00,Library Technicians,"Some college, no degree",8.85,07/2017,5
25-4031,25-4031.00,Library Technicians,Master's degree,1.81,07/2017,6
25-9031,25-9031.00,Instructional Coordinators,Master's degree,59.84,08/2018,1
25-9031,25-9031.00,Instructional Coordinators,Bachelor's degree,24.83,08/2018,2
25-9031,25-9031.00,Instructional Coordinators,Post-master's certificate,10.85,08/2018,3
25-9031,25-9031.00,Instructional Coordinators,First professional degree,4.21,08/2018,4
25-9031,25-9031.00,Instructional Coordinators,Post-baccalaureate certificate,0.14,08/2018,5
25-9031,25-9031.00,Instructional Coordinators,Doctoral degree,0.14,08/2018,6
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",High school diploma or equivalent,27.1,08/2024,1
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Post-secondary certificate,19.89,08/2024,2
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Some college, no degree",17.12,08/2024,3
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Bachelor's degree,16.28,08/2024,4
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Master's degree,15.14,08/2024,5
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Associate's degree,3.24,08/2024,6
25-9043,25-9043.00,"Teaching Assistants, Special Education",High school diploma or equivalent,24.61,08/2025,1
25-9043,25-9043.00,"Teaching Assistants, Special Education","Some college, no degree",18.2,08/2025,2
25-9043,25-9043.00,"Teaching Assistants, Special Education",Associate's degree,14.48,08/2025,3
25-9043,25-9043.00,"Teaching Assistants, Special Education",Master's degree,3.55,08/2025,4
25-9043,25-9043.00,"Teaching Assistants, Special Education",Less than high school diploma,0.0,08/2025,5
25-9043,25-9043.00,"Teaching Assistants, Special Education",Post-secondary certificate,0.0,08/2025,6
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Bachelor's degree,57.32,07/2016,1
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Master's degree,37.26,07/2016,2
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Doctoral degree,3.73,07/2016,3
25-9044,25-9044.00,"Teaching Assistants, Postsecondary","Some college, no degree",1.48,07/2016,4
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Post-master's certificate,0.2,07/2016,5
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Less than high school diploma,0.0,07/2016,6
27-1011,27-1011.00,Art Directors,Bachelor's degree,68.02,08/2023,1
27-1011,27-1011.00,Art Directors,High school diploma or equivalent,9.69,08/2023,2
27-1011,27-1011.00,Art Directors,Master's degree,7.69,08/2023,3
27-1011,27-1011.00,Art Directors,"Some college, no degree",5.7,08/2023,4
27-1011,27-1011.00,Art Directors,Associate's degree,5.37,08/2023,5
27-1011,27-1011.00,Art Directors,Post-baccalaureate certificate,3.52,08/2023,6
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Bachelor's degree,35.12,07/2017,1
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Post-secondary certificate,0.26,07/2017,2
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",First professional degree,0.26,07/2017,3
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Less than high school diploma,0.0,07/2017,4
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Associate's degree,0.0,07/2017,5
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Post-baccalaureate certificate,0.0,07/2017,6
27-1014,27-1014.00,Special Effects Artists and Animators,High school diploma or equivalent,5.4,08/2019,1
27-1014,27-1014.00,Special Effects Artists and Animators,Associate's degree,1.7,08/2019,2
27-1014,27-1014.00,Special Effects Artists and Animators,Master's degree,0.34,08/2019,3
27-1014,27-1014.00,Special Effects Artists and Animators,Less than high school diploma,0.13,08/2019,4
27-1014,27-1014.00,Special Effects Artists and Animators,Post-secondary certificate,0.0,08/2019,5
27-1014,27-1014.00,Special Effects Artists and Animators,Post-baccalaureate certificate,0.0,08/2019,6
27-1021,27-1021.00,Commercial and Industrial Designers,Bachelor's degree,67.92,08/2019,1
27-1021,27-1021.00,Commercial and Industrial Designers,"Some college, no degree",15.23,08/2019,2
27-1021,27-1021.00,Commercial and Industrial Designers,Associate's degree,12.26,08/2019,3
27-1021,27-1021.00,Commercial and Industrial Designers,High school diploma or equivalent,4.3,08/2019,4
27-1021,27-1021.00,Commercial and Industrial Designers,Post-secondary certificate,0.29,08/2019,5
27-1021,27-1021.00,Commercial and Industrial Designers,Less than high school diploma,0.0,08/2019,6
27-1022,27-1022.00,Fashion Designers,Bachelor's degree,50.67,08/2024,1
27-1022,27-1022.00,Fashion Designers,Associate's degree,44.02,08/2024,2
27-1022,27-1022.00,Fashion Designers,High school diploma or equivalent,3.62,08/2024,3
27-1022,27-1022.00,Fashion Designers,"Some college, no degree",1.07,08/2024,4
27-1022,27-1022.00,Fashion Designers,Less than high school diploma,0.63,08/2024,5
27-1022,27-1022.00,Fashion Designers,Post-secondary certificate,0.0,08/2024,6
27-1023,27-1023.00,Floral Designers,High school diploma or equivalent,75.78,07/2015,1
27-1023,27-1023.00,Floral Designers,"Some college, no degree",11.17,07/2015,2
27-1023,27-1023.00,Floral Designers,Bachelor's degree,7.91,07/2015,3
27-1023,27-1023.00,Floral Designers,Associate's degree,3.34,07/2015,4
27-1023,27-1023.00,Floral Designers,Less than high school diploma,0.9,07/2015,5
27-1023,27-1023.00,Floral Designers,Post-secondary certificate,0.9,07/2015,6
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,High school diploma or equivalent,39.46,07/2015,1
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,"Some college, no degree",19.52,07/2015,2
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Bachelor's degree,17.64,07/2015,3
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Associate's degree,14.68,07/2015,4
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Post-secondary certificate,8.7,07/2015,5
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Less than high school diploma,0.0,07/2015,6
27-2011,27-2011.00,Actors,Less than high school diploma,45.42,07/2017,1
27-2011,27-2011.00,Actors,Bachelor's degree,20.68,07/2017,2
27-2011,27-2011.00,Actors,High school diploma or equivalent,16.24,07/2017,3
27-2011,27-2011.00,Actors,First professional degree,13.86,07/2017,4
27-2011,27-2011.00,Actors,Post-secondary certificate,3.81,07/2017,5
27-2011,27-2011.00,Actors,"Some college, no degree",0.0,07/2017,6
27-2012,27-2012.05,Media Technical Directors/Managers,Bachelor's degree,92.07,08/2019,1
27-2012,27-2012.00,Producers and Directors,Bachelor's degree,56.67,08/2022,2
27-2012,27-2012.03,Media Programming Directors,Bachelor's degree,52.0,08/2023,3
27-2012,27-2012.04,Talent Directors,Bachelor's degree,42.31,08/2019,4
27-2012,27-2012.03,Media Programming Directors,High school diploma or equivalent,31.19,08/2023,5
27-2012,27-2012.04,Talent Directors,Associate's degree,18.77,08/2019,6
27-2021,27-2021.00,Athletes and Sports Competitors,Less than high school diploma,34.8,07/2016,1
27-2021,27-2021.00,Athletes and Sports Competitors,Bachelor's degree,24.46,07/2016,2
27-2021,27-2021.00,Athletes and Sports Competitors,High school diploma or equivalent,23.33,07/2016,3
27-2021,27-2021.00,Athletes and Sports Competitors,Associate's degree,8.7,07/2016,4
27-2021,27-2021.00,Athletes and Sports Competitors,Post-secondary certificate,5.46,07/2016,5
27-2021,27-2021.00,Athletes and Sports Competitors,"Some college, no degree",3.25,07/2016,6
27-2022,27-2022.00,Coaches and Scouts,Bachelor's degree,48.89,08/2019,1
27-2022,27-2022.00,Coaches and Scouts,Master's degree,19.37,08/2019,2
27-2022,27-2022.00,Coaches and Scouts,Associate's degree,17.41,08/2019,3
27-2022,27-2022.00,Coaches and Scouts,High school diploma or equivalent,8.86,08/2019,4
27-2022,27-2022.00,Coaches and Scouts,Less than high school diploma,3.65,08/2019,5
27-2022,27-2022.00,Coaches and Scouts,Doctoral degree,1.81,08/2019,6
27-2031,27-2031.00,Dancers,High school diploma or equivalent,45.06,08/2019,1
27-2031,27-2031.00,Dancers,Less than high school diploma,34.17,08/2019,2
27-2031,27-2031.00,Dancers,Post-secondary certificate,13.54,08/2019,3
27-2031,27-2031.00,Dancers,"Some college, no degree",7.24,08/2019,4
27-2031,27-2031.00,Dancers,Associate's degree,0.0,08/2019,5
27-2031,27-2031.00,Dancers,Bachelor's degree,0.0,08/2019,6
27-2041,27-2041.00,Music Directors and Composers,Master's degree,28.21,08/2022,1
27-2041,27-2041.00,Music Directors and Composers,Bachelor's degree,24.02,08/2022,2
27-2041,27-2041.00,Music Directors and Composers,Doctoral degree,20.62,08/2022,3
27-2041,27-2041.00,Music Directors and Composers,Associate's degree,7.89,08/2022,4
27-2041,27-2041.00,Music Directors and Composers,"Some college, no degree",6.2,08/2022,5
27-2041,27-2041.00,Music Directors and Composers,Less than high school diploma,5.11,08/2022,6
27-2042,27-2042.00,Musicians and Singers,Bachelor's degree,29.07,08/2022,1
27-2042,27-2042.00,Musicians and Singers,Master's degree,17.15,08/2022,2
27-2042,27-2042.00,Musicians and Singers,High school diploma or equivalent,12.14,08/2022,3
27-2042,27-2042.00,Musicians and Singers,Doctoral degree,9.33,08/2022,4
27-2042,27-2042.00,Musicians and Singers,"Some college, no degree",8.56,08/2022,5
27-2042,27-2042.00,Musicians and Singers,Post-doctoral training,3.33,08/2022,6
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,"Some college, no degree",30.3,08/2025,1
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,High school diploma or equivalent,26.83,08/2025,2
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Master's degree,5.19,08/2025,3
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Associate's degree,2.5,08/2025,4
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Less than high school diploma,0.0,08/2025,5
27-3011,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Post-secondary certificate,0.0,08/2025,6
27-3041,27-3041.00,Editors,Bachelor's degree,80.43,07/2017,1
27-3041,27-3041.00,Editors,Master's degree,17.03,07/2017,2
27-3041,27-3041.00,Editors,Post-baccalaureate certificate,1.27,07/2017,3
27-3041,27-3041.00,Editors,Post-master's certificate,1.27,07/2017,4
27-3041,27-3041.00,Editors,Less than high school diploma,0.0,07/2017,5
27-3041,27-3041.00,Editors,High school diploma or equivalent,0.0,07/2017,6
27-3042,27-3042.00,Technical Writers,Associate's degree,35.25,07/2012,1
27-3042,27-3042.00,Technical Writers,Bachelor's degree,33.02,07/2012,2
27-3042,27-3042.00,Technical Writers,"Some college, no degree",15.89,07/2012,3
27-3042,27-3042.00,Technical Writers,Post-secondary certificate,6.9,07/2012,4
27-3042,27-3042.00,Technical Writers,Master's degree,5.46,07/2012,5
27-3042,27-3042.00,Technical Writers,Post-baccalaureate certificate,2.5,07/2012,6
27-3043,27-3043.00,Writers and Authors,Associate's degree,17.68,08/2022,1
27-3091,27-3091.00,Interpreters and Translators,Bachelor's degree,54.72,08/2021,1
27-3091,27-3091.00,Interpreters and Translators,Master's degree,27.88,08/2021,2
27-3091,27-3091.00,Interpreters and Translators,High school diploma or equivalent,8.02,08/2021,3
27-3091,27-3091.00,Interpreters and Translators,Associate's degree,4.42,08/2021,4
27-3091,27-3091.00,Interpreters and Translators,Post-master's certificate,3.69,08/2021,5
27-3091,27-3091.00,Interpreters and Translators,Post-secondary certificate,1.27,08/2021,6
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,Post-secondary certificate,74.84,08/2020,1
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,Associate's degree,11.59,08/2020,2
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,High school diploma or equivalent,5.47,08/2020,3
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,"Some college, no degree",5.25,08/2020,4
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,First professional degree,2.86,08/2020,5
27-3092,27-3092.00,Court Reporters and Simultaneous Captioners,Less than high school diploma,0.0,08/2020,6
27-4011,27-4011.00,Audio and Video Technicians,Bachelor's degree,42.67,08/2018,1
27-4011,27-4011.00,Audio and Video Technicians,High school diploma or equivalent,25.07,08/2018,2
27-4011,27-4011.00,Audio and Video Technicians,Post-secondary certificate,19.87,08/2018,3
27-4011,27-4011.00,Audio and Video Technicians,Associate's degree,11.19,08/2018,4
27-4011,27-4011.00,Audio and Video Technicians,"Some college, no degree",1.19,08/2018,5
27-4011,27-4011.00,Audio and Video Technicians,Less than high school diploma,0.0,08/2018,6
27-4012,27-4012.00,Broadcast Technicians,Associate's degree,43.37,08/2019,1
27-4012,27-4012.00,Broadcast Technicians,"Some college, no degree",26.62,08/2019,2
27-4012,27-4012.00,Broadcast Technicians,High school diploma or equivalent,17.42,08/2019,3
27-4012,27-4012.00,Broadcast Technicians,Post-secondary certificate,10.2,08/2019,4
27-4012,27-4012.00,Broadcast Technicians,Bachelor's degree,2.39,08/2019,5
27-4012,27-4012.00,Broadcast Technicians,Less than high school diploma,0.0,08/2019,6
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film",Associate's degree,60.7,08/2019,1
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film",High school diploma or equivalent,17.82,08/2019,2
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film","Some college, no degree",14.58,08/2019,3
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film",Bachelor's degree,6.9,08/2019,4
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film",Less than high school diploma,0.0,08/2019,5
27-4031,27-4031.00,"Camera Operators, Television, Video, and Film",Post-secondary certificate,0.0,08/2019,6
27-4032,27-4032.00,Film and Video Editors,Bachelor's degree,65.1,08/2020,1
27-4032,27-4032.00,Film and Video Editors,Associate's degree,16.85,08/2020,2
27-4032,27-4032.00,Film and Video Editors,High school diploma or equivalent,16.28,08/2020,3
27-4032,27-4032.00,Film and Video Editors,"Some college, no degree",1.18,08/2020,4
27-4032,27-4032.00,Film and Video Editors,Master's degree,0.59,08/2020,5
27-4032,27-4032.00,Film and Video Editors,Less than high school diploma,0.0,08/2020,6
29-1011,29-1011.00,Chiropractors,Doctoral degree,82.14,07/2013,1
29-1011,29-1011.00,Chiropractors,First professional degree,7.53,07/2013,2
29-1011,29-1011.00,Chiropractors,Post-secondary certificate,6.75,07/2013,3
29-1011,29-1011.00,Chiropractors,High school diploma or equivalent,3.58,07/2013,4
29-1011,29-1011.00,Chiropractors,Less than high school diploma,0.0,07/2013,5
29-1011,29-1011.00,Chiropractors,"Some college, no degree",0.0,07/2013,6
29-1021,29-1021.00,"Dentists, General",Doctoral degree,81.44,07/2014,1
29-1021,29-1021.00,"Dentists, General","Some college, no degree",7.17,07/2014,2
29-1021,29-1021.00,"Dentists, General",Master's degree,5.77,07/2014,3
29-1021,29-1021.00,"Dentists, General",Associate's degree,5.62,07/2014,4
29-1021,29-1021.00,"Dentists, General",Less than high school diploma,0.0,07/2014,5
29-1021,29-1021.00,"Dentists, General",High school diploma or equivalent,0.0,07/2014,6
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,Post-doctoral training,72.2,07/2012,1
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,Doctoral degree,19.84,07/2012,2
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,First professional degree,7.96,07/2012,3
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,Less than high school diploma,0.0,07/2012,4
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,High school diploma or equivalent,0.0,07/2012,5
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,Post-secondary certificate,0.0,07/2012,6
29-1023,29-1023.00,Orthodontists,Post-doctoral training,68.94,08/2023,1
29-1023,29-1023.00,Orthodontists,Doctoral degree,12.09,08/2023,2
29-1023,29-1023.00,Orthodontists,Post-secondary certificate,7.73,08/2023,3
29-1023,29-1023.00,Orthodontists,First professional degree,7.08,08/2023,4
29-1023,29-1023.00,Orthodontists,Bachelor's degree,2.66,08/2023,5
29-1023,29-1023.00,Orthodontists,High school diploma or equivalent,1.51,08/2023,6
29-1024,29-1024.00,Prosthodontists,Post-doctoral training,61.03,08/2024,1
29-1024,29-1024.00,Prosthodontists,Doctoral degree,36.06,08/2024,2
29-1024,29-1024.00,Prosthodontists,Post-secondary certificate,2.91,08/2024,3
29-1024,29-1024.00,Prosthodontists,Less than high school diploma,0.0,08/2024,4
29-1024,29-1024.00,Prosthodontists,High school diploma or equivalent,0.0,08/2024,5
29-1024,29-1024.00,Prosthodontists,"Some college, no degree",0.0,08/2024,6
29-1051,29-1051.00,Pharmacists,Doctoral degree,78.36,08/2022,1
29-1051,29-1051.00,Pharmacists,Bachelor's degree,11.47,08/2022,2
29-1051,29-1051.00,Pharmacists,Post-doctoral training,5.06,08/2022,3
29-1051,29-1051.00,Pharmacists,First professional degree,3.36,08/2022,4
29-1051,29-1051.00,Pharmacists,High school diploma or equivalent,1.75,08/2022,5
29-1051,29-1051.00,Pharmacists,Less than high school diploma,0.0,08/2022,6
29-1071,29-1071.01,Anesthesiologist Assistants,Master's degree,41.68,07/2012,1
29-1071,29-1071.01,Anesthesiologist Assistants,High school diploma or equivalent,21.8,07/2012,2
29-1071,29-1071.01,Anesthesiologist Assistants,Post-secondary certificate,16.81,07/2012,3
29-1071,29-1071.01,Anesthesiologist Assistants,First professional degree,14.51,07/2012,4
