soc_code,onet_soc_code,occupation_title,education_level,respondent_share_percent,source_date,rank
11-9033,11-9033.00,"Education Administrators, Postsecondary",Master's degree,47.94,08/2018,1
11-9033,11-9033.00,"Education Administrators, Postsecondary",Doctoral degree,37.24,08/2018,2
11-9033,11-9033.00,"Education Administrators, Postsecondary",Bachelor's degree,7.62,08/2018,3
11-9033,11-9033.00,"Education Administrators, Postsecondary",Post-doctoral training,7.2,08/2018,4
11-9033,11-9033.00,"Education Administrators, Postsecondary",Less than high school diploma,0.0,08/2018,5
11-9033,11-9033.00,"Education Administrators, Postsecondary",High school diploma or equivalent,0.0,08/2018,6
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Bachelor's degree,55.44,07/2014,1
11-9041,11-9041.00,Architectural and Engineering Managers,Bachelor's degree,45.52,08/2020,2
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Master's degree,28.62,07/2014,3
11-9041,11-9041.00,Architectural and Engineering Managers,Master's degree,27.04,08/2020,4
11-9041,11-9041.00,Architectural and Engineering Managers,First professional degree,12.15,08/2020,5
11-9041,11-9041.00,Architectural and Engineering Managers,Post-master's certificate,11.85,08/2020,6
11-9051,11-9051.00,Food Service Managers,High school diploma or equivalent,29.66,08/2025,1
11-9051,11-9051.00,Food Service Managers,Post-secondary certificate,21.34,08/2025,2
11-9051,11-9051.00,Food Service Managers,Associate's degree,18.56,08/2025,3
11-9051,11-9051.00,Food Service Managers,Less than high school diploma,16.14,08/2025,4
11-9051,11-9051.00,Food Service Managers,Bachelor's degree,9.73,08/2025,5
11-9051,11-9051.00,Food Service Managers,"Some college, no degree",4.56,08/2025,6
11-9071,11-9071.00,Gambling Managers,High school diploma or equivalent,56.51,08/2023,1
11-9071,11-9071.00,Gambling Managers,"Some college, no degree",30.01,08/2023,2
11-9071,11-9071.00,Gambling Managers,Post-secondary certificate,6.74,08/2023,3
11-9071,11-9071.00,Gambling Managers,Bachelor's degree,6.74,08/2023,4
11-9071,11-9071.00,Gambling Managers,Less than high school diploma,0.0,08/2023,5
11-9071,11-9071.00,Gambling Managers,Associate's degree,0.0,08/2023,6
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,52.12,08/2025,1
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Some college, no degree",23.06,08/2025,2
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Associate's degree,16.79,08/2025,3
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Master's degree,7.35,08/2025,4
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",High school diploma or equivalent,0.69,08/2025,5
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Less than high school diploma,0.0,08/2025,6
11-9081,11-9081.00,Lodging Managers,Bachelor's degree,71.6,07/2017,1
11-9081,11-9081.00,Lodging Managers,"Some college, no degree",5.89,07/2017,2
11-9081,11-9081.00,Lodging Managers,Associate's degree,3.05,07/2017,3
11-9081,11-9081.00,Lodging Managers,High school diploma or equivalent,1.15,07/2017,4
11-9081,11-9081.00,Lodging Managers,Post-secondary certificate,0.0,07/2017,5
11-9081,11-9081.00,Lodging Managers,Post-baccalaureate certificate,0.0,07/2017,6
11-9121,11-9121.01,Clinical Research Coordinators,Bachelor's degree,60.13,08/2021,1
11-9121,11-9121.00,Natural Sciences Managers,Bachelor's degree,35.07,08/2021,2
11-9121,11-9121.00,Natural Sciences Managers,Post-doctoral training,26.7,08/2021,3
11-9121,11-9121.00,Natural Sciences Managers,Master's degree,15.07,08/2021,4
11-9121,11-9121.00,Natural Sciences Managers,Doctoral degree,13.62,08/2021,5
11-9121,11-9121.01,Clinical Research Coordinators,Post-secondary certificate,11.58,08/2021,6
11-9131,11-9131.00,Postmasters and Mail Superintendents,High school diploma or equivalent,62.1,07/2016,1
11-9131,11-9131.00,Postmasters and Mail Superintendents,Bachelor's degree,13.44,07/2016,2
11-9131,11-9131.00,Postmasters and Mail Superintendents,"Some college, no degree",11.07,07/2016,3
11-9131,11-9131.00,Postmasters and Mail Superintendents,Post-secondary certificate,6.69,07/2016,4
11-9131,11-9131.00,Postmasters and Mail Superintendents,Associate's degree,6.69,07/2016,5
11-9131,11-9131.00,Postmasters and Mail Superintendents,Less than high school diploma,0.0,07/2016,6
11-9151,11-9151.00,Social and Community Service Managers,Bachelor's degree,50.36,08/2018,1
11-9151,11-9151.00,Social and Community Service Managers,Master's degree,23.93,08/2018,2
11-9151,11-9151.00,Social and Community Service Managers,Associate's degree,8.15,08/2018,3
11-9151,11-9151.00,Social and Community Service Managers,Post-master's certificate,8.12,08/2018,4
11-9151,11-9151.00,Social and Community Service Managers,High school diploma or equivalent,7.24,08/2018,5
11-9151,11-9151.00,Social and Community Service Managers,"Some college, no degree",2.19,08/2018,6
11-9171,11-9171.00,Funeral Home Managers,Associate's degree,49.85,08/2024,1
11-9171,11-9171.00,Funeral Home Managers,High school diploma or equivalent,25.54,08/2024,2
11-9171,11-9171.00,Funeral Home Managers,Post-secondary certificate,14.63,08/2024,3
11-9171,11-9171.00,Funeral Home Managers,Post-baccalaureate certificate,5.33,08/2024,4
11-9171,11-9171.00,Funeral Home Managers,"Some college, no degree",3.49,08/2024,5
11-9171,11-9171.00,Funeral Home Managers,Bachelor's degree,1.16,08/2024,6
11-9179,11-9179.02,Spa Managers,Associate's degree,25.29,07/2012,1
11-9179,11-9179.02,Spa Managers,High school diploma or equivalent,6.23,07/2012,2
11-9179,11-9179.02,Spa Managers,Master's degree,0.44,07/2012,3
11-9179,11-9179.02,Spa Managers,Less than high school diploma,0.0,07/2012,4
11-9179,11-9179.02,Spa Managers,Post-baccalaureate certificate,0.0,07/2012,5
11-9179,11-9179.02,Spa Managers,Post-master's certificate,0.0,07/2012,6
11-9199,11-9199.10,Wind Energy Development Managers,Bachelor's degree,66.85,07/2016,1
11-9199,11-9199.02,Compliance Managers,Bachelor's degree,63.38,08/2019,2
11-9199,11-9199.09,Wind Energy Operations Managers,Associate's degree,39.7,08/2021,3
11-9199,11-9199.09,Wind Energy Operations Managers,Bachelor's degree,34.76,08/2021,4
11-9199,11-9199.10,Wind Energy Development Managers,Associate's degree,18.27,07/2016,5
11-9199,11-9199.09,Wind Energy Operations Managers,High school diploma or equivalent,14.92,08/2021,6
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Bachelor's degree,41.33,08/2020,1
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",High school diploma or equivalent,37.97,08/2020,2
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Master's degree,16.8,08/2020,3
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Some college, no degree",2.56,08/2020,4
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Less than high school diploma,1.34,08/2020,5
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Post-secondary certificate,0.0,08/2020,6
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Bachelor's degree,76.83,07/2013,1
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Associate's degree,8.29,07/2013,2
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",High school diploma or equivalent,7.6,07/2013,3
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products","Some college, no degree",7.28,07/2013,4
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Less than high school diploma,0.0,07/2013,5
13-1021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Post-secondary certificate,0.0,07/2013,6
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Bachelor's degree,34.65,07/2015,1
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",High school diploma or equivalent,20.3,07/2015,2
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Less than high school diploma,13.92,07/2015,3
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Associate's degree,11.43,07/2015,4
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Post-secondary certificate,10.3,07/2015,5
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Some college, no degree",8.21,07/2015,6
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Bachelor's degree,55.82,08/2022,1
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,13.11,08/2022,2
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Associate's degree,12.01,08/2022,3
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators","Some college, no degree",11.93,08/2022,4
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Doctoral degree,3.95,08/2022,5
13-1031,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Post-secondary certificate,2.59,08/2022,6
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage","Some college, no degree",30.6,07/2016,1
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",Post-secondary certificate,28.84,07/2016,2
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",High school diploma or equivalent,23.88,07/2016,3
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",Associate's degree,15.21,07/2016,4
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",Bachelor's degree,1.47,07/2016,5
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",Less than high school diploma,0.0,07/2016,6
13-1041,13-1041.03,Equal Opportunity Representatives and Officers,Bachelor's degree,65.76,07/2015,1
13-1041,13-1041.04,Government Property Inspectors and Investigators,Bachelor's degree,39.34,07/2016,2
13-1041,13-1041.04,Government Property Inspectors and Investigators,Associate's degree,24.68,07/2016,3
13-1041,13-1041.04,Government Property Inspectors and Investigators,Post-secondary certificate,16.22,07/2016,4
13-1041,13-1041.03,Equal Opportunity Representatives and Officers,"Some college, no degree",14.07,07/2015,5
13-1041,13-1041.03,Equal Opportunity Representatives and Officers,Master's degree,11.87,07/2015,6
13-1071,13-1071.00,Human Resources Specialists,Bachelor's degree,46.59,08/2019,1
13-1071,13-1071.00,Human Resources Specialists,High school diploma or equivalent,13.52,08/2019,2
13-1071,13-1071.00,Human Resources Specialists,Associate's degree,7.16,08/2019,3
13-1071,13-1071.00,Human Resources Specialists,"Some college, no degree",4.82,08/2019,4
13-1071,13-1071.00,Human Resources Specialists,Post-baccalaureate certificate,1.69,08/2019,5
13-1071,13-1071.00,Human Resources Specialists,Post-secondary certificate,1.31,08/2019,6
13-1074,13-1074.00,Farm Labor Contractors,"Some college, no degree",8.9,06/2008,1
13-1074,13-1074.00,Farm Labor Contractors,Associate's degree,0.14,06/2008,2
13-1074,13-1074.00,Farm Labor Contractors,Master's degree,0.14,06/2008,3
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",Bachelor's degree,40.8,07/2016,1
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",High school diploma or equivalent,7.85,07/2016,2
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",Associate's degree,7.49,07/2016,3
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",Post-secondary certificate,6.64,07/2016,4
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",Less than high school diploma,0.0,07/2016,5
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",Post-baccalaureate certificate,0.0,07/2016,6
13-1199,13-1199.06,Online Merchants,Bachelor's degree,41.29,07/2014,1
13-1199,13-1199.06,Online Merchants,High school diploma or equivalent,32.67,07/2014,2
13-1199,13-1199.06,Online Merchants,Post-secondary certificate,12.12,07/2014,3
13-1199,13-1199.06,Online Merchants,"Some college, no degree",8.71,07/2014,4
13-1199,13-1199.06,Online Merchants,Associate's degree,5.22,07/2014,5
13-1199,13-1199.06,Online Merchants,Less than high school diploma,0.0,07/2014,6
13-2031,13-2031.00,Budget Analysts,Bachelor's degree,77.48,08/2024,1
13-2031,13-2031.00,Budget Analysts,High school diploma or equivalent,12.57,08/2024,2
13-2031,13-2031.00,Budget Analysts,Master's degree,7.59,08/2024,3
13-2031,13-2031.00,Budget Analysts,"Some college, no degree",2.37,08/2024,4
13-2031,13-2031.00,Budget Analysts,Less than high school diploma,0.0,08/2024,5
13-2031,13-2031.00,Budget Analysts,Post-secondary certificate,0.0,08/2024,6
13-2072,13-2072.00,Loan Officers,Bachelor's degree,68.74,08/2020,1
13-2072,13-2072.00,Loan Officers,"Some college, no degree",12.83,08/2020,2
13-2072,13-2072.00,Loan Officers,Associate's degree,11.18,08/2020,3
13-2072,13-2072.00,Loan Officers,High school diploma or equivalent,6.13,08/2020,4
13-2072,13-2072.00,Loan Officers,Post-baccalaureate certificate,1.12,08/2020,5
13-2072,13-2072.00,Loan Officers,Less than high school diploma,0.0,08/2020,6
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Bachelor's degree,33.61,08/2022,1
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Associate's degree,25.59,08/2022,2
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",High school diploma or equivalent,23.17,08/2022,3
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents","Some college, no degree",13.7,08/2022,4
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Master's degree,3.7,08/2022,5
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",First professional degree,0.24,08/2022,6
15-1211,15-1211.00,Computer Systems Analysts,"Some college, no degree",4.62,08/2023,1
15-1211,15-1211.00,Computer Systems Analysts,Master's degree,1.42,08/2023,2
15-1211,15-1211.00,Computer Systems Analysts,High school diploma or equivalent,0.77,08/2023,3
15-1211,15-1211.00,Computer Systems Analysts,Post-secondary certificate,0.54,08/2023,4
15-1211,15-1211.00,Computer Systems Analysts,Less than high school diploma,0.0,08/2023,5
15-1211,15-1211.00,Computer Systems Analysts,Post-baccalaureate certificate,0.0,08/2023,6
15-1212,15-1212.00,Information Security Analysts,Bachelor's degree,52.64,08/2018,1
15-1212,15-1212.00,Information Security Analysts,Post-baccalaureate certificate,22.52,08/2018,2
15-1212,15-1212.00,Information Security Analysts,Associate's degree,12.87,08/2018,3
15-1212,15-1212.00,Information Security Analysts,Post-secondary certificate,7.16,08/2018,4
15-1212,15-1212.00,Information Security Analysts,Master's degree,2.8,08/2018,5
15-1212,15-1212.00,Information Security Analysts,"Some college, no degree",2.01,08/2018,6
15-1221,15-1221.00,Computer and Information Research Scientists,Doctoral degree,28.42,08/2019,1
15-1221,15-1221.00,Computer and Information Research Scientists,Master's degree,19.93,08/2019,2
15-1221,15-1221.00,Computer and Information Research Scientists,"Some college, no degree",8.35,08/2019,3
15-1221,15-1221.00,Computer and Information Research Scientists,Post-doctoral training,4.5,08/2019,4
15-1221,15-1221.00,Computer and Information Research Scientists,First professional degree,2.58,08/2019,5
15-1221,15-1221.00,Computer and Information Research Scientists,Less than high school diploma,0.0,08/2019,6
15-1231,15-1231.00,Computer Network Support Specialists,Bachelor's degree,46.93,07/2014,1
15-1231,15-1231.00,Computer Network Support Specialists,Associate's degree,21.68,07/2014,2
15-1231,15-1231.00,Computer Network Support Specialists,"Some college, no degree",13.63,07/2014,3
15-1231,15-1231.00,Computer Network Support Specialists,Post-secondary certificate,10.16,07/2014,4
15-1231,15-1231.00,Computer Network Support Specialists,High school diploma or equivalent,4.23,07/2014,5
15-1231,15-1231.00,Computer Network Support Specialists,Post-baccalaureate certificate,1.84,07/2014,6
15-1232,15-1232.00,Computer User Support Specialists,Associate's degree,13.74,08/2023,1
15-1232,15-1232.00,Computer User Support Specialists,First professional degree,4.05,08/2023,2
15-1232,15-1232.00,Computer User Support Specialists,"Some college, no degree",1.92,08/2023,3
15-1232,15-1232.00,Computer User Support Specialists,High school diploma or equivalent,0.32,08/2023,4
15-1232,15-1232.00,Computer User Support Specialists,Master's degree,0.32,08/2023,5
15-1232,15-1232.00,Computer User Support Specialists,Less than high school diploma,0.0,08/2023,6
